DrawObjectData_1.Matrix,DrawObjectData_1.NormleMatrix,DrawObjectData_1.EnitityID,DrawObjectData_1.MaterielID,DrawObjectData_1.Empty0,DrawObjectData_1.Empty1
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-26.6539, 14.9901, 20.4328, 1.0000]","[0.3636, -0.0000, 0.0000, 9.6923]
[-0.0000, 0.3636, -0.0000, -5.4509]
[0.0000, -0.0000, 0.3636, -7.4301]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,4,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[27.6104, 13.1911, 20.3714, 1.0000]","[0.3636, -0.0000, 0.0000, -10.0402]
[-0.0000, 0.3636, -0.0000, -4.7968]
[0.0000, -0.0000, 0.3636, -7.4078]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,9,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[27.6104, 13.1911, 20.3714, 1.0000]","[0.3636, -0.0000, 0.0000, -10.0402]
[-0.0000, 0.3636, -0.0000, -4.7968]
[0.0000, -0.0000, 0.3636, -7.4078]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,5,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[27.6104, 13.1911, 20.3714, 1.0000]","[0.3636, -0.0000, 0.0000, -10.0402]
[-0.0000, 0.3636, -0.0000, -4.7968]
[0.0000, -0.0000, 0.3636, -7.4078]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,3,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[27.6104, 13.1911, 20.3714, 1.0000]","[0.3636, -0.0000, 0.0000, -10.0402]
[-0.0000, 0.3636, -0.0000, -4.7968]
[0.0000, -0.0000, 0.3636, -7.4078]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,0,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[27.6104, 13.1911, 20.3714, 1.0000]","[0.3636, -0.0000, 0.0000, -10.0402]
[-0.0000, 0.3636, -0.0000, -4.7968]
[0.0000, -0.0000, 0.3636, -7.4078]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,6,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[35.0326, 14.9120, 13.0240, 1.0000]","[0.3636, -0.0000, 0.0000, -12.7391]
[-0.0000, 0.3636, -0.0000, -5.4226]
[0.0000, -0.0000, 0.3636, -4.7360]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,9,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[35.0326, 14.9120, 13.0240, 1.0000]","[0.3636, -0.0000, 0.0000, -12.7391]
[-0.0000, 0.3636, -0.0000, -5.4226]
[0.0000, -0.0000, 0.3636, -4.7360]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,5,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[35.0326, 14.9120, 13.0240, 1.0000]","[0.3636, -0.0000, 0.0000, -12.7391]
[-0.0000, 0.3636, -0.0000, -5.4226]
[0.0000, -0.0000, 0.3636, -4.7360]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,3,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[35.0326, 14.9120, 13.0240, 1.0000]","[0.3636, -0.0000, 0.0000, -12.7391]
[-0.0000, 0.3636, -0.0000, -5.4226]
[0.0000, -0.0000, 0.3636, -4.7360]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,0,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[35.0326, 14.9120, 13.0240, 1.0000]","[0.3636, -0.0000, 0.0000, -12.7391]
[-0.0000, 0.3636, -0.0000, -5.4226]
[0.0000, -0.0000, 0.3636, -4.7360]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,6,-10,-11
"[2.7395, 0.0000, 0.2397, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[-0.2397, 0.0000, 2.7395, 0.0000]
[5.9497, 28.5545, 12.8267, 1.0000]","[0.3623, -0.0000, 0.0317, -2.5618]
[-0.0000, 0.3636, -0.0000, -10.3834]
[-0.0317, -0.0000, 0.3623, -4.4579]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,0,-10,-11
"[2.7395, 0.0000, 0.2397, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[-0.2397, 0.0000, 2.7395, 0.0000]
[5.9497, 28.5545, 12.8267, 1.0000]","[0.3623, -0.0000, 0.0317, -2.5618]
[-0.0000, 0.3636, -0.0000, -10.3834]
[-0.0317, -0.0000, 0.3623, -4.4579]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,1,-10,-11
"[2.7395, 0.0000, 0.2397, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[-0.2397, 0.0000, 2.7395, 0.0000]
[5.9497, 28.5545, 12.8267, 1.0000]","[0.3623, -0.0000, 0.0317, -2.5618]
[-0.0000, 0.3636, -0.0000, -10.3834]
[-0.0317, -0.0000, 0.3623, -4.4579]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,2,-10,-11
"[0.4775, 0.0000, 2.7082, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[-2.7082, 0.0000, 0.4775, 0.0000]
[-16.0803, 28.5545, 12.8436, 1.0000]","[0.0631, -0.0000, 0.3581, -3.5840]
[-0.0000, 0.3636, -0.0000, -10.3834]
[-0.3581, -0.0000, 0.0631, -6.5695]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,0,-10,-11
"[0.4775, 0.0000, 2.7082, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[-2.7082, 0.0000, 0.4775, 0.0000]
[-16.0803, 28.5545, 12.8436, 1.0000]","[0.0631, -0.0000, 0.3581, -3.5840]
[-0.0000, 0.3636, -0.0000, -10.3834]
[-0.3581, -0.0000, 0.0631, -6.5695]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,1,-10,-11
"[0.4775, 0.0000, 2.7082, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[-2.7082, 0.0000, 0.4775, 0.0000]
[-16.0803, 28.5545, 12.8436, 1.0000]","[0.0631, -0.0000, 0.3581, -3.5840]
[-0.0000, 0.3636, -0.0000, -10.3834]
[-0.3581, -0.0000, 0.0631, -6.5695]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,2,-10,-11
"[-1.1622, 0.0000, 2.4923, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[-2.4923, 0.0000, -1.1622, 0.0000]
[-26.8770, 28.5545, 13.0356, 1.0000]","[-0.1537, -0.0000, 0.3296, -8.4265]
[-0.0000, 0.3636, -0.0000, -10.3834]
[-0.3296, -0.0000, -0.1537, -6.8545]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,0,-10,-11
"[-1.1622, 0.0000, 2.4923, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[-2.4923, 0.0000, -1.1622, 0.0000]
[-26.8770, 28.5545, 13.0356, 1.0000]","[-0.1537, -0.0000, 0.3296, -8.4265]
[-0.0000, 0.3636, -0.0000, -10.3834]
[-0.3296, -0.0000, -0.1537, -6.8545]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,1,-10,-11
"[-1.1622, 0.0000, 2.4923, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[-2.4923, 0.0000, -1.1622, 0.0000]
[-26.8770, 28.5545, 13.0356, 1.0000]","[-0.1537, -0.0000, 0.3296, -8.4265]
[-0.0000, 0.3636, -0.0000, -10.3834]
[-0.3296, -0.0000, -0.1537, -6.8545]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,2,-10,-11
"[2.6563, 0.0000, -0.7118, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.7118, 0.0000, 2.6563, 0.0000]
[5.9495, 28.5545, -12.9122, 1.0000]","[0.3512, -0.0000, -0.0941, -3.3050]
[-0.0000, 0.3636, -0.0000, -10.3834]
[0.0941, -0.0000, 0.3512, 3.9754]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,0,-10,-11
"[2.6563, 0.0000, -0.7118, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.7118, 0.0000, 2.6563, 0.0000]
[5.9495, 28.5545, -12.9122, 1.0000]","[0.3512, -0.0000, -0.0941, -3.3050]
[-0.0000, 0.3636, -0.0000, -10.3834]
[0.0941, -0.0000, 0.3512, 3.9754]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,1,-10,-11
"[2.6563, 0.0000, -0.7118, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.7118, 0.0000, 2.6563, 0.0000]
[5.9495, 28.5545, -12.9122, 1.0000]","[0.3512, -0.0000, -0.0941, -3.3050]
[-0.0000, 0.3636, -0.0000, -10.3834]
[0.0941, -0.0000, 0.3512, 3.9754]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,2,-10,-11
"[-1.3750, 0.0000, 2.3816, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[-2.3816, 0.0000, -1.3750, 0.0000]
[-16.0946, 28.5545, -12.8193, 1.0000]","[-0.1818, -0.0000, 0.3149, 1.1107]
[-0.0000, 0.3636, -0.0000, -10.3834]
[-0.3149, -0.0000, -0.1818, -7.3993]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,0,-10,-11
"[-1.3750, 0.0000, 2.3816, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[-2.3816, 0.0000, -1.3750, 0.0000]
[-16.0946, 28.5545, -12.8193, 1.0000]","[-0.1818, -0.0000, 0.3149, 1.1107]
[-0.0000, 0.3636, -0.0000, -10.3834]
[-0.3149, -0.0000, -0.1818, -7.3993]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,1,-10,-11
"[-1.3750, 0.0000, 2.3816, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[-2.3816, 0.0000, -1.3750, 0.0000]
[-16.0946, 28.5545, -12.8193, 1.0000]","[-0.1818, -0.0000, 0.3149, 1.1107]
[-0.0000, 0.3636, -0.0000, -10.3834]
[-0.3149, -0.0000, -0.1818, -7.3993]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,2,-10,-11
"[-0.2397, 0.0000, 2.7395, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[-2.7395, 0.0000, -0.2397, 0.0000]
[-26.8227, 28.5545, -12.9978, 1.0000]","[-0.0317, -0.0000, 0.3623, 3.8584]
[-0.0000, 0.3636, -0.0000, -10.3834]
[-0.3623, -0.0000, -0.0317, -10.1285]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,0,-10,-11
"[-0.2397, 0.0000, 2.7395, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[-2.7395, 0.0000, -0.2397, 0.0000]
[-26.8227, 28.5545, -12.9978, 1.0000]","[-0.0317, -0.0000, 0.3623, 3.8584]
[-0.0000, 0.3636, -0.0000, -10.3834]
[-0.3623, -0.0000, -0.0317, -10.1285]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,1,-10,-11
"[-0.2397, 0.0000, 2.7395, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[-2.7395, 0.0000, -0.2397, 0.0000]
[-26.8227, 28.5545, -12.9978, 1.0000]","[-0.0317, -0.0000, 0.3623, 3.8584]
[-0.0000, 0.3636, -0.0000, -10.3834]
[-0.3623, -0.0000, -0.0317, -10.1285]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,2,-10,-11
"[2.3816, 0.0000, 1.3750, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[-1.3750, 0.0000, 2.3816, 0.0000]
[27.6820, 28.5545, -12.9924, 1.0000]","[0.3149, -0.0000, 0.1818, -6.3553]
[-0.0000, 0.3636, -0.0000, -10.3834]
[-0.1818, -0.0000, 0.3149, 9.1246]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,0,-10,-11
"[2.3816, 0.0000, 1.3750, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[-1.3750, 0.0000, 2.3816, 0.0000]
[27.6820, 28.5545, -12.9924, 1.0000]","[0.3149, -0.0000, 0.1818, -6.3553]
[-0.0000, 0.3636, -0.0000, -10.3834]
[-0.1818, -0.0000, 0.3149, 9.1246]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,1,-10,-11
"[2.3816, 0.0000, 1.3750, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[-1.3750, 0.0000, 2.3816, 0.0000]
[27.6820, 28.5545, -12.9924, 1.0000]","[0.3149, -0.0000, 0.1818, -6.3553]
[-0.0000, 0.3636, -0.0000, -10.3834]
[-0.1818, -0.0000, 0.3149, 9.1246]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,2,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[0.3824, 21.6015, 0.3152, 1.0000]","[0.3636, -0.0000, 0.0000, -0.1391]
[-0.0000, 0.3636, -0.0000, -7.8551]
[0.0000, -0.0000, 0.3636, -0.1146]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,11,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[0.3824, 21.6015, 0.3152, 1.0000]","[0.3636, -0.0000, 0.0000, -0.1391]
[-0.0000, 0.3636, -0.0000, -7.8551]
[0.0000, -0.0000, 0.3636, -0.1146]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,16,-10,-11
"[-2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[-0.0000, 0.0000, -2.7500, 0.0000]
[0.4618, 22.2173, -0.8484, 1.0000]","[-0.3636, -0.0000, 0.0000, 0.1679]
[-0.0000, 0.3636, -0.0000, -8.0790]
[-0.0000, 0.0000, -0.3636, -0.3085]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,21,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-30.3286, 44.4813, 15.1216, 1.0000]","[0.3636, -0.0000, 0.0000, 11.0286]
[-0.0000, 0.3636, -0.0000, -16.1750]
[0.0000, -0.0000, 0.3636, -5.4988]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,5,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-30.3286, 44.4813, 15.1216, 1.0000]","[0.3636, -0.0000, 0.0000, 11.0286]
[-0.0000, 0.3636, -0.0000, -16.1750]
[0.0000, -0.0000, 0.3636, -5.4988]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,26,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-2.2569, 44.4813, 15.1216, 1.0000]","[0.3636, -0.0000, 0.0000, 0.8207]
[-0.0000, 0.3636, -0.0000, -16.1750]
[0.0000, -0.0000, 0.3636, -5.4988]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,5,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-2.2569, 44.4813, 15.1216, 1.0000]","[0.3636, -0.0000, 0.0000, 0.8207]
[-0.0000, 0.3636, -0.0000, -16.1750]
[0.0000, -0.0000, 0.3636, -5.4988]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,26,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[2.8106, 33.5078, 0.0184, 1.0000]","[0.3636, -0.0000, 0.0000, -1.0220]
[-0.0000, 0.3636, -0.0000, -12.1847]
[0.0000, -0.0000, 0.3636, -0.0067]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,10,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[2.8106, 33.5078, 0.0184, 1.0000]","[0.3636, -0.0000, 0.0000, -1.0220]
[-0.0000, 0.3636, -0.0000, -12.1847]
[0.0000, -0.0000, 0.3636, -0.0067]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,3,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[2.8106, 33.5078, 0.0184, 1.0000]","[0.3636, -0.0000, 0.0000, -1.0220]
[-0.0000, 0.3636, -0.0000, -12.1847]
[0.0000, -0.0000, 0.3636, -0.0067]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,0,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[2.8106, 33.5078, 0.0184, 1.0000]","[0.3636, -0.0000, 0.0000, -1.0220]
[-0.0000, 0.3636, -0.0000, -12.1847]
[0.0000, -0.0000, 0.3636, -0.0067]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,4,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-21.7236, 36.6473, -0.0306, 1.0000]","[0.3636, -0.0000, 0.0000, 7.8995]
[-0.0000, 0.3636, -0.0000, -13.3263]
[0.0000, -0.0000, 0.3636, 0.0111]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,27,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[2.4733, 43.8418, -0.0083, 1.0000]","[0.3636, -0.0000, 0.0000, -0.8994]
[-0.0000, 0.3636, -0.0000, -15.9425]
[0.0000, -0.0000, 0.3636, 0.0030]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,10,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[2.4733, 43.8418, -0.0083, 1.0000]","[0.3636, -0.0000, 0.0000, -0.8994]
[-0.0000, 0.3636, -0.0000, -15.9425]
[0.0000, -0.0000, 0.3636, 0.0030]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,0,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-30.3384, 44.4740, -15.0484, 1.0000]","[0.3636, -0.0000, 0.0000, 11.0321]
[-0.0000, 0.3636, -0.0000, -16.1723]
[0.0000, -0.0000, 0.3636, 5.4721]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,5,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-30.3384, 44.4740, -15.0484, 1.0000]","[0.3636, -0.0000, 0.0000, 11.0321]
[-0.0000, 0.3636, -0.0000, -16.1723]
[0.0000, -0.0000, 0.3636, 5.4721]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,26,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-2.3109, 44.4813, -15.0610, 1.0000]","[0.3636, -0.0000, 0.0000, 0.8403]
[-0.0000, 0.3636, -0.0000, -16.1750]
[0.0000, -0.0000, 0.3636, 5.4767]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,5,-10,-11
"[2.7500, 0.0000, 0.0000, 0.0000]
[0.0000, 2.7500, 0.0000, 0.0000]
[0.0000, 0.0000, 2.7500, 0.0000]
[-2.3109, 44.4813, -15.0610, 1.0000]","[0.3636, -0.0000, 0.0000, 0.8403]
[-0.0000, 0.3636, -0.0000, -16.1750]
[0.0000, -0.0000, 0.3636, 5.4767]
[-0.0000, 0.0000, -0.0000, 1.0000]",1,26,-10,-11
